Formula,E_g_Exp,Source,Priority
CdHIO4,4.35,Matbench,2
CdHg4(AsI2)2,1.45,Matbench,2
CdHg6(As2Br3)2,1.89,Matbench,2
CdI2,3.8,Matbench,2
CdIClO3,4.3,Matbench,2
CdIn,0.6,Matbench,2
CdIn8Te13,1.02,Matbench,2
Ce2Fe(SeO)2,0.64,Matbench,2
Ce2Fe17,0.0,Matbench,2
CdP4PbO12,4.85,Matbench,2
Cd4P2Br3,2.19,Matbench,2
Ce2S2O,0.0,Matbench,2
CdRhF6,0.0,Matbench,2
CdSb2Se3Br2,1.4,Matbench,2
CdSb4MoO10,3.4,Matbench,2
CdSnO3,3.0,Matbench,2
Ce(AlZn)2,0.0,Matbench,2
Ce(BC)2,0.0,Matbench,2
Ce(CoAs)2,0.0,Matbench,2
Ce(CoB)4,0.0,Matbench,2
Ce(CuSb)2,0.0,Matbench,2
Ce(HO)3,0.0,Matbench,2
Ce(InS2)3,1.11,Matbench,2
Ce3LuSe6,1.1,Matbench,2
Ce3MnAlS7,0.0,Matbench,2
Ce(PPt2)2,0.0,Matbench,2
CdCu(SeO3)2,3.33,Matbench,2
Ce3Pd5,0.0,Matbench,2
Ce(SiPd)2,0.0,Matbench,2
Ce1.3Lu0.7S3,1.25,Matbench,2
Ce10Se14O,1.93,Matbench,2
Ce15B8N25,3.5,Matbench,2
Ce1Mn0.5Se1O1,2.01,Matbench,2
Ce2(SbPd3)3,0.0,Matbench,2
Ce2(SnSe3)3,0.3,Matbench,2
Ce2Al2Co15,0.0,Matbench,2
Ce2Co5B2,0.0,Matbench,2
Ce2CrN3,0.0,Matbench,2
Ce2Cu(NO)2,0.0,Matbench,2
Ce5Ge3,0.0,Matbench,2
Ce5Si3,0.0,Matbench,2
Ce2Ge2Se7,1.1,Matbench,2
CdPd,0.0,Matbench,2
Ce8U2O21,0.0,Matbench,2
Ce2S3,1.12,Matbench,2
Ce2Sb,0.0,Matbench,2
Ce2Se3,1.75,Matbench,2
Ce2SiSeO4,0.0,Matbench,2
Ce2Ti2O7,0.0,Matbench,2
Ce2ZnNi2,0.0,Matbench,2
Ce3(Al3Ru)4,0.0,Matbench,2
Ce3Al,0.0,Matbench,2
Ce3AlC,0.0,Matbench,2
Ce3B2(ClO2)3,0.0,Matbench,2
Ce3In3Ru2,0.0,Matbench,2
CeBiW2O9,2.34,Matbench,2
CeCd2Ag,0.0,Matbench,2
Ce3MoO7,2.0,Matbench,2
Ce(SiAu)2,0.0,Matbench,2
CeF3,4.85,Matbench,2
Ce3SiPt5,0.0,Matbench,2
Ce3Ta(ClO2)3,0.0,Matbench,2
Ce3TaO7,0.0,Matbench,2
Ce4(GeS4)3,2.3,Matbench,2
Ce4Bi3,0.0,Matbench,2
Ce4FeSe6O,0.0,Matbench,2
Ce4InSbSe9,1.69,Matbench,2
Ce4Si3Rh4,0.0,Matbench,2
Ce4Te7,0.5,Matbench,2
Ce5(SiN3)3,0.0,Matbench,2
Ce5CuSe8,0.0,Matbench,2
CeMoO4F,2.52,Matbench,2
CeN,0.7,Matbench,2
Ce6B2(CBr)3,0.0,Matbench,2
Ce2GeSe5,1.7,Matbench,2
CeOs2,0.0,Matbench,2
Ce9SmO20,0.0,Matbench,2
CeAgSn,0.0,Matbench,2
CeAl2Pd5,0.0,Matbench,2
CeAl2Pt3,0.0,Matbench,2
CeAl3Ni2,0.0,Matbench,2
CeAlO3,0.0,Matbench,2
CeAlSi2,0.0,Matbench,2
CeAsPd,0.0,Matbench,2
CeAsSe,0.0,Matbench,2
CeB2Ir3,0.0,Matbench,2
CeBC,0.0,Matbench,2
CeTaN2O,1.9,Matbench,2
CeTl2P2S7,2.4,Matbench,2
CeCdAu2,0.0,Matbench,2
Ce3NbS3O4,0.0,Matbench,2
CeZnPO,0.0,Matbench,2
CeGaO3,0.0,Matbench,2
CeHSe,0.0,Matbench,2
CeHg,0.0,Matbench,2
CeInIr,0.0,Matbench,2
CeIr5,0.0,Matbench,2
CeLu3,0.0,Matbench,2
CeMg2Ag,0.0,Matbench,2
CeMgAg2,0.0,Matbench,2
CeMgNi4,0.0,Matbench,2
CeMgPt,0.0,Matbench,2
CeMgZn2,0.0,Matbench,2
Co5RuO8,0.0,Matbench,2
Co7Mo6,0.0,Matbench,2
CeNbO4,0.0,Matbench,2
Ce8Sb2S15,1.99,Matbench,2
CoAsRh,0.0,Matbench,2
CePd5,0.0,Matbench,2
CePrO2,0.0,Matbench,2
CeRh,0.0,Matbench,2
CeSI,0.0,Matbench,2
CeSbO3,0.0,Matbench,2
CeScO3,3.2,Matbench,2
CeSi2Ni,0.0,Matbench,2
CeSi2Pt,0.0,Matbench,2
CeSiI,0.0,Matbench,2
CeSiIr,0.0,Matbench,2
CeSiOs,0.0,Matbench,2
CoSb2,0.17,Matbench,2
CoSb3,0.49,Matbench,2
CeTl3,0.0,Matbench,2
CeCoGeH,0.0,Matbench,2
Cr10Sb3Te7,0.0,Matbench,2
Co(PO3)4,0.0,Matbench,2
Co(WO4)2,0.0,Matbench,2
Co1Te1.88,0.2,Matbench,2
Co2B4Mo,0.0,Matbench,2
Co2Ge,0.0,Matbench,2
Co2O3,0.0,Matbench,2
Co2Te3O8,3.6,Matbench,2
Co3H,0.0,Matbench,2
Co3Se4,0.0,Matbench,2
Co3W,0.0,Matbench,2
Co5Ge7,0.0,Matbench,2
Cr3P,0.0,Matbench,2
Cr3Se4,1.59,Matbench,2
Co7Re17O48,0.0,Matbench,2
CeO2,3.41,Matbench,2
Cr7C3,0.0,Matbench,2
CoAsS,0.6,Matbench,2
CoAsSe,0.2,Matbench,2
CoCu2Sn,0.0,Matbench,2
CoGe,0.0,Matbench,2
CoH2(SN)4,0.0,Matbench,2
CoMoP2,0.0,Matbench,2
CoN,0.0,Matbench,2
CoOF,0.0,Matbench,2
CoP2,0.35,Matbench,2
CoP3,0.45,Matbench,2
CoPS,0.4,Matbench,2
CrIrO6,0.0,Matbench,2
CrNi3,0.0,Matbench,2
Cr(FeSe2)2,0.0,Matbench,2
CeTlZn,0.0,Matbench,2
CrO2,0.23,Matbench,2
Cr2CuS4,0.0,Matbench,2
Cr2CuTe4,0.0,Matbench,2
Cr2GeC,0.0,Matbench,2
Cr2HO4,0.0,Matbench,2
Cr2HgSe4,0.0,Matbench,2
Cr2NiS4,0.0,Matbench,2
Cr2O3,3.4,Matbench,2
Cr2P3O11,0.0,Matbench,2
Cr2SbTe,0.0,Matbench,2
Cr3N2,0.0,Matbench,2
Cr3Ni(PO4)6,0.0,Matbench,2
Cs2AgBiBr6,2.19,Matbench,2
Cs2AgBiCl6,2.77,Matbench,2
Cr4As3,0.0,Matbench,2
CoAs3,0.4,Matbench,2
Cs2Cd(PSe3)2,2.63,Matbench,2
CrAs,0.0,Matbench,2
CrB2(PbO2)6,1.8,Matbench,2
CrBi2I2O11,2.4,Matbench,2
CrCo2Bi,0.0,Matbench,2
CrCoGe,0.0,Matbench,2
CrCoPt2,0.0,Matbench,2
CrCu2Si,0.0,Matbench,2
CrFe2Sb,0.0,Matbench,2
CrFeP,0.0,Matbench,2
CrH9(CN2)3,0.0,Matbench,2
CrIrO4,0.0,Matbench,2
Cs2Hg(ICl)2,2.15,Matbench,2
Cs2Hg3I8,2.56,Matbench,2
CrNiAs,0.0,Matbench,2
Cr(MoS2)2,0.0,Matbench,2
Cs2La1.19Bi8.81S16,1.0,Matbench,2
CrO3,1.4,Matbench,2
CrPbO4,2.25,Matbench,2
CrSb2,0.14,Matbench,2
CrSi2,1.3,Matbench,2
CrTe2,0.17,Matbench,2
Cs(AsRu)2,0.0,Matbench,2
Cs(MoO3)3,0.0,Matbench,2
Cs0.4K0.6P1Se6,2.1,Matbench,2
Cs1.13Cd1.13Bi2.87Se6,1.0,Matbench,2
Cs1.43Cd1.43Bi2.57S6,1.28,Matbench,2
Cs10Cd4Sn4S17,3.16,Matbench,2
Cs2SCl6F,0.0,Matbench,2
Cs2Sb,0.62,Matbench,2
Cs2Al2B2O7,4.13,Matbench,2
Cr4Cu3Te8,0.0,Matbench,2
Cs2Sn(PSe3)2,2.06,Matbench,2
Cs2Cd0.25Hg5.75S7,1.66,Matbench,2
Cs2Cd1.35Hg4.65S7,1.84,Matbench,2
Cs2Cd2Bi2S5,1.7,Matbench,2
Cs2Cd3(B4O7)4,4.76,Matbench,2
Cs2Cd3Te4,2.48,Matbench,2
Cs2CrCl4,0.0,Matbench,2
Cs2Cu(PS3)3,2.4,Matbench,2
Cs2Cu2Sb2S5,1.6,Matbench,2
Cs2DyCu3Te4,1.38,Matbench,2
Cs2Ga2S5,3.26,Matbench,2
Cs2Ga2Se5,1.95,Matbench,2
Cs2ZnSn3Se8,2.12,Matbench,2
Cs39Ga53(Se16Cl)6,2.74,Matbench,2
Cs2Hg3S4,2.8,Matbench,2
CrNiP2O9,0.0,Matbench,2
Cs3Bi2I9,1.8,Matbench,2
Cs2Li3(BO2)5,7.3,Matbench,2
Cs2MgGe3Se8,2.04,Matbench,2
Cs2MgSn3Se8,1.92,Matbench,2
Cs2Mo15S19,0.0,Matbench,2
Cs2NaCoF6,0.0,Matbench,2
Cs2NaMgF6,0.0,Matbench,2
Cs2NaMnF6,0.0,Matbench,2
Cs2NbCuSe4,2.19,Matbench,2
Cs2P2PdSe6,1.6,Matbench,2
Cs2PdSe8,1.5,Matbench,2
Cs2Pt(IO3)6,2.4,Matbench,2
Cs4BiAs3Se7,1.02,Matbench,2
Cs4Ga4Si19,1.14,Matbench,2
Cs2SeClF6,0.0,Matbench,2
Cs2Ba3(P2O7)2,6.31,Matbench,2
Cs4In8GeSe16,2.2,Matbench,2
Cs2Sn3(SbS5)2,2.34,Matbench,2
Cs2Te,3.5,Matbench,2
Cs2TeBr6,2.12,Matbench,2
Cs2TeI6,1.5,Matbench,2
Cs2Th(PS3)3,2.8,Matbench,2
Cs2Ti(AgS2)2,2.44,Matbench,2
Cs2VAgS4,1.77,Matbench,2
Cs2Zn3(SeO3)4,4.3,Matbench,2
Cs2ZnGe3S8,3.33,Matbench,2
Cs2ZnGe3Se8,2.31,Matbench,2
Cs2ZnGe3Te8,1.07,Matbench,2
CsB3O5,7.42,Matbench,2
CsBi2,0.55,Matbench,2
Cs3As,0.6,Matbench,2
Cs2Hg6S7,1.63,Matbench,2
CsBiSe2,1.07,Matbench,2
Cs3Li4(BO2)7,6.53,Matbench,2
Cs3NaZn2Ge21,0.3,Matbench,2
Cs3Nb2AsSe11,1.35,Matbench,2
Cs3Nb9(TeO8)4,3.22,Matbench,2
Cs3PW3O13,3.27,Matbench,2
Cs3Sb,1.6,Matbench,2
Cs3Sb2Br9,2.3,Matbench,2
Cs3Sb2I9,1.89,Matbench,2
Cs3Sn3Cl7F2,2.96,Matbench,2
Cs3V2Cl9,0.0,Matbench,2
Cs4Ag9(SbS3)4,2.0,Matbench,2
CsCu2AsS3,2.3,Matbench,2
CsCu2SbS3,1.63,Matbench,2
Cs4Ge(PSe3)4,2.0,Matbench,2
Cs2SiB4O9,6.53,Matbench,2
CsErZnSe3,2.56,Matbench,2
Cs4Zr3S14,2.35,Matbench,2
Cs5Bi(PSe3)4,1.85,Matbench,2
Cs5Mo21Se23,0.0,Matbench,2
Cs5P5Se12,2.17,Matbench,2
Cs6.4Na1.6Ga8Ge38,0.22,Matbench,2
CsAg2AsS3,2.7,Matbench,2
CsAg2TeS6,2.04,Matbench,2
CsAg5Te3,0.65,Matbench,2
CsAgCl3,0.0,Matbench,2
CsAgSb4S7,2.04,Matbench,2
CsAu,2.3,Matbench,2
CsH3(SeO3)2,4.77,Matbench,2
CsHo9(Cd2Se9)2,2.06,Matbench,2
CsBi3Se5,0.43,Matbench,2
Cs3Bi2Br9,2.5,Matbench,2
CsInHgS3,2.3,Matbench,2
CsCaO3,0.0,Matbench,2
CsCd4Ga5S12,3.09,Matbench,2
CsCd4Ga5Se12,2.21,Matbench,2
CsCd4Ga5Te12,1.67,Matbench,2
CsCd4In5Se12,1.62,Matbench,2
CsCd4In5Te12,1.42,Matbench,2
CsCdBO3,2.58,Matbench,2
CsCdInSe3,2.4,Matbench,2
CsCeCdSe3,2.4,Matbench,2
CsCeHgSe3,1.94,Matbench,2
CsCu(SbS2)2,1.7,Matbench,2
CsLiCO3,6.19,Matbench,2
CsLu7S11,1.86,Matbench,2
CsDy9(Cd2Se9)2,1.99,Matbench,2
Cs4Ge5(PbS4)4,1.95,Matbench,2
CsMn4Ga5Te12,1.55,Matbench,2
CsEuF3,0.0,Matbench,2
CsF,10.0,Matbench,2
CsGa(SnSe3)2,1.87,Matbench,2
CsGa7,0.0,Matbench,2
CsGaS3,3.0,Matbench,2
CsGaSnSe4,1.97,Matbench,2
CsGdO3,0.0,Matbench,2
CsGdZnTe3,2.13,Matbench,2
CsGe5BO12,4.89,Matbench,2
CsGeB3O7,5.76,Matbench,2
CsGeI3,1.6,Matbench,2
CsRb(PSe4)2,2.41,Matbench,2
CsRb2Sb,1.5,Matbench,2
CsIn(SnSe3)2,1.78,Matbench,2
CsBiS2,1.39,Matbench,2
CsSbS2,2.8,Matbench,2
CsInI3,0.0,Matbench,2
CsInS2,3.4,Matbench,2
CsInSe2,2.81,Matbench,2
CsInSnS4,2.9,Matbench,2
CsInTe2,2.16,Matbench,2
CsInTe3O8,3.9,Matbench,2
CsIr,0.0,Matbench,2
CsIrO3,0.0,Matbench,2
CsK(PSe4)2,2.36,Matbench,2
CsLaHgSe3,2.46,Matbench,2
CsLi(B3O5)2,6.89,Matbench,2
CsTiCl3,0.0,Matbench,2
CsTiF4,0.0,Matbench,2
CsLu7Se11,1.78,Matbench,2
CsEr9(Cd2Se9)2,2.09,Matbench,2
CsVP2S7,0.0,Matbench,2
CsMn4In5Se12,1.79,Matbench,2
CsMn4In5Te12,1.48,Matbench,2
CsMnSb,0.0,Matbench,2
CsNa2Sb,0.8,Matbench,2
CsNa8(B7O12)3,4.67,Matbench,2
CsNb6I11,0.0,Matbench,2
CsNbSe2O7,4.2,Matbench,2
CsNi2F6,0.0,Matbench,2
CsPPbO4,4.39,Matbench,2
CsPSe4,2.44,Matbench,2
CsPSe6,1.9,Matbench,2
Cu(NO3)2,0.0,Matbench,2
Cu0.5Ge1Pb1.75S4,1.48,Matbench,2
CsRbP,0.0,Matbench,2
CsInGeSe4,2.32,Matbench,2
Cu10Sb3,0.0,Matbench,2
CsSbSe2,1.7,Matbench,2
CsSbTe2,0.43,Matbench,2
CsSc(SeO3)2,5.2,Matbench,2
CsScBr3,0.0,Matbench,2
CsSmCdSe3,2.45,Matbench,2
CsSmHgSe3,2.37,Matbench,2
CsSn3,0.0,Matbench,2
CsTa3(SeO6)2,3.88,Matbench,2
CsTaPSe6,2.29,Matbench,2
CsTb9(Cd2Se9)2,1.95,Matbench,2
CsTbZnTe3,2.12,Matbench,2
Cu2PHO5,0.0,Matbench,2
Cu2Sb,0.0,Matbench,2
CsTm9(Cd2Se9)2,2.16,Matbench,2
CsMg149,0.0,Matbench,2
Cu3(BiI4)4,0.0,Matbench,2
CsWCl6,0.0,Matbench,2
CsYCdSe3,2.54,Matbench,2
CsYHgSe3,2.54,Matbench,2
CsYTe3O8,3.4,Matbench,2
CsYbCoSe3,0.95,Matbench,2
CsYbMnSe3,1.59,Matbench,2
CsZn2B3O7,5.69,Matbench,2
CsZn4In5Se12,1.61,Matbench,2
CsZn4In5Te12,1.61,Matbench,2
CsZrPSe6,2.0,Matbench,2
Cu(IrS2)2,0.0,Matbench,2
Cu5(Si2O7)2,0.0,Matbench,2
Cu6PbO8,0.0,Matbench,2
Cu0.96Bi2Se3I1,0.68,Matbench,2
CsSb(SO4)2,4.68,Matbench,2
Cu9O13,0.0,Matbench,2
Cu11Sb4S13,0.0,Matbench,2
Cu15Si4,0.0,Matbench,2
Cu18S11,0.0,Matbench,2
Cu23(Sb4S13)2,0.0,Matbench,2
Cu25Se26,0.0,Matbench,2
Cu2GeS3,0.53,Matbench,2
Cu2H3ClO3,0.0,Matbench,2
Cu2Hg2SF6,0.0,Matbench,2
Cu2HgGeSe4,0.0,Matbench,2
Cu2O,2.58,Matbench,2
Cu2OF2,0.0,Matbench,2
CuHg(SeO3)2,3.25,Matbench,2
CuMoO4,0.0,Matbench,2
Cu2Te3O8,2.64,Matbench,2
CsUCuS3,0.0,Matbench,2
CuP2(HO3)2,0.0,Matbench,2
Cu3(P2O7)2,0.0,Matbench,2
Cu3Bi6S10I,0.72,Matbench,2
Cu3Hg2(Te3O8)2,2.56,Matbench,2
Cu3Pd,0.0,Matbench,2
Cu3SbSe4,0.31,Matbench,2
Cu3Se2(ClO3)2,0.0,Matbench,2
Cu4As2O9,0.0,Matbench,2
Cu4H10SO12,0.0,Matbench,2
Cu4Pd,0.0,Matbench,2
Cu4Sn7S16,0.8,Matbench,2
Cu4W(SCl)4,0.0,Matbench,2
Dy(CuSi)2,0.0,Matbench,2
Dy(CuTe)3,0.34,Matbench,2
Cu7Hg6,0.0,Matbench,2
Cu1.8S1,2.3,Matbench,2
Dy12C6I17,0.0,Matbench,2
Cu9S5,0.0,Matbench,2
Cu9Se4(Cl3O7)2,0.0,Matbench,2
CuBS2,3.61,Matbench,2
CuBi(PSe3)2,1.2,Matbench,2
CuBiPbS3,0.12,Matbench,2
CuBiPbSe3,0.07,Matbench,2
CuBiSO,1.07,Matbench,2
CuBiSeO,0.82,Matbench,2
CuCN2,0.0,Matbench,2
CuClO2,0.0,Matbench,2
CuF,0.0,Matbench,2
Dy2MgTl,0.0,Matbench,2
Dy2Ni12P7,0.0,Matbench,2
CuN3,4.17,Matbench,2
Cu2WSe4,1.65,Matbench,2
Dy2Sn5,0.0,Matbench,2
CuPO4F,0.0,Matbench,2
CuPS3,2.2,Matbench,2
CuPd,0.0,Matbench,2
CuPtO2,0.0,Matbench,2
CuSbPbS3,1.31,Matbench,2
CuSbS2,1.38,Matbench,2
CuSbSe2,1.05,Matbench,2
CuSeO3,0.0,Matbench,2
Dy(Al2Cu)4,0.0,Matbench,2
Dy(CoGe)2,0.0,Matbench,2
Dy(CuSe)3,0.2,Matbench,2
Dy4GaSbS9,2.58,Matbench,2
Dy4Sb3,0.0,Matbench,2
Dy(GeRu)2,0.0,Matbench,2
Cu8O,0.0,Matbench,2
Dy5Sn3,0.0,Matbench,2
Dy12Co7,0.0,Matbench,2
Dy1Te1.4,0.6,Matbench,2
Dy1Te1.45,0.6,Matbench,2
Dy1Te1.7,0.35,Matbench,2
Dy2(GePt3)3,0.0,Matbench,2
Dy2(MoO4)3,1.92,Matbench,2
Dy2AlCo2,0.0,Matbench,2
Dy2C,0.0,Matbench,2
Dy2CdPd2,0.0,Matbench,2
Dy2CuOs,0.0,Matbench,2
Dy2MgIn,0.0,Matbench,2
DyCd2,0.0,Matbench,2
DyCoSi2,0.0,Matbench,2
Dy2O3,5.0,Matbench,2
CuNi(CN)4,2.7,Matbench,2
DyInAu,0.0,Matbench,2
Dy2Te3,0.69,Matbench,2
Dy2Ti3Si4,0.0,Matbench,2
Dy2TlCd,0.0,Matbench,2
Dy2ZnIn,0.0,Matbench,2
Dy3(CuGe)4,0.0,Matbench,2
Dy3Al0.5Si1S7,2.22,Matbench,2
Dy3Ga,0.0,Matbench,2
Dy3GaS6,2.81,Matbench,2
Dy3InC,0.0,Matbench,2
Dy3MnB7,0.0,Matbench,2
Dy4CdRh,0.0,Matbench,2
DySnRu2,0.0,Matbench,2
DyYAg2,0.0,Matbench,2
Dy4Te3S4,1.43,Matbench,2
Dy(InS2)3,1.22,Matbench,2
DyZrRu2,0.0,Matbench,2
Dy6FeTe2,0.0,Matbench,2
Dy7In(CoGe3)4,0.0,Matbench,2
DyAg,0.0,Matbench,2
DyAgGe,0.0,Matbench,2
DyAgHg2,0.0,Matbench,2
DyAs,1.0,Matbench,2
DyB2Rh2C,0.0,Matbench,2
DyB6,3.3,Matbench,2
DyBPd3,0.0,Matbench,2
DyBiPd,0.0,Matbench,2
DyBiPt,0.0,Matbench,2
Er2Fe14B,0.0,Matbench,2
Er2Mg3Ru,0.0,Matbench,2
DyFeSi,0.0,Matbench,2
Dy2S3,2.91,Matbench,2
Er2Se3,1.66,Matbench,2
DyInCu2,0.0,Matbench,2
DyInPt2,0.0,Matbench,2
DyIr2,0.0,Matbench,2
DyMn2,0.0,Matbench,2
DyNiGe2,0.0,Matbench,2
DyNiSn,0.0,Matbench,2
DyPO4,6.38,Matbench,2
DyRh,0.0,Matbench,2
DyS2,0.0,Matbench,2
DySiIr,0.0,Matbench,2
DySn3,0.0,Matbench,2
ErAl9(Fe2Si3)2,0.0,Matbench,2
ErAlGe,0.0,Matbench,2
DyZnGa,0.0,Matbench,2
Dy5Pb3,0.0,Matbench,2
ErB6,3.5,Matbench,2
DyZrSb,0.0,Matbench,2
Er(Al10Cr)2,0.0,Matbench,2
Er(CrSi)2,0.0,Matbench,2
Er(CuGe)2,0.0,Matbench,2
Er(CuTe)3,0.24,Matbench,2
Er(InS2)3,1.28,Matbench,2
Er(ReO4)2,0.0,Matbench,2
Er(SiPd)2,0.0,Matbench,2
Er2(Ga3Co)3,0.0,Matbench,2
Er2(MoO4)3,0.96,Matbench,2
Er2C3,0.0,Matbench,2
ErPbAu,0.0,Matbench,2
ErRu3,0.0,Matbench,2
Er2MnC4,0.0,Matbench,2
DyGe,0.0,Matbench,2
ErSnAu,0.0,Matbench,2
Er2SnAu2,0.0,Matbench,2
Er2Te3,0.9,Matbench,2
Er3Al3NiGe2,0.0,Matbench,2
Er3SnC,0.0,Matbench,2
Er3Te4,0.9,Matbench,2
Er4NiB13,0.0,Matbench,2
Er5Bi3,0.0,Matbench,2
Er5NiPb3,0.0,Matbench,2
Er5Si3,0.0,Matbench,2
Er6MnBi2,0.0,Matbench,2
ErAgSn,0.0,Matbench,2
Eu(FeSi)2,0.0,Matbench,2
Eu(GaS2)2,2.25,Matbench,2
ErB2Ir3,0.0,Matbench,2
DyZnRh2,0.0,Matbench,2
Eu(HoSe2)2,1.8,Matbench,2
ErBPd3,0.0,Matbench,2
ErBiW2O9,3.26,Matbench,2
ErCu,0.0,Matbench,2
ErCuPb,0.0,Matbench,2
ErFeC2,0.0,Matbench,2
ErHg2,0.0,Matbench,2
ErLu3,0.0,Matbench,2
ErMg2,0.0,Matbench,2
ErNi4Au,0.0,Matbench,2
ErNi4B,0.0,Matbench,2
ErNiSn,0.0,Matbench,2
Eu(SbSe2)2,0.95,Matbench,2
Eu(TmSe2)2,1.8,Matbench,2
ErSe2,1.07,Matbench,2
Er2O3,5.42,Matbench,2
Eu1.75Ag0.5Ge1S4,2.14,Matbench,2
ErTe,0.9,Matbench,2
ErTlPd,0.0,Matbench,2
ErZn12,0.0,Matbench,2
Eu(AlAu)2,0.0,Matbench,2
Eu(AsPd)2,0.0,Matbench,2
Eu(BiSe2)2,1.02,Matbench,2
Eu(BiTe2)2,0.44,Matbench,2
Eu(CdSb)2,0.0,Matbench,2
Eu(ClO4)3,0.0,Matbench,2
Eu(DySe2)2,1.8,Matbench,2
Eu(ErSe2)2,1.7,Matbench,2
Eu2TeO2,0.0,Matbench,2
Eu3(InP2)2,0.45,Matbench,2
Eu(GaSe2)2,2.16,Matbench,2
ErB2Ru3,0.0,Matbench,2
Eu3Bi4S9,1.18,Matbench,2
Eu(InAs)2,0.0,Matbench,2
Eu(InS2)2,1.5,Matbench,2
Eu(InSe2)2,1.31,Matbench,2
Eu(InTe2)2,1.22,Matbench,2
Eu(LuSe2)2,1.7,Matbench,2
Eu(MgBi)2,0.0,Matbench,2
Eu(MnGe)2,0.0,Matbench,2
Eu(Ni2B)6,0.0,Matbench,2
Eu(NiAs)2,0.0,Matbench,2
Eu(POs)2,0.0,Matbench,2
Eu(SbS2)2,1.2,Matbench,2
EuB(SbO4)2,3.46,Matbench,2
EuBi3,0.0,Matbench,2
Eu(ZnGe)2,0.0,Matbench,2
ErSiPd,0.0,Matbench,2
EuClO,0.0,Matbench,2
Eu1.83Ta15O32,0.23,Matbench,2
Eu2(Ga3Rh)3,0.0,Matbench,2
Eu2C(NO)2,0.0,Matbench,2
Eu2CuO4,0.0,Matbench,2
Eu2Ga2GeS7,2.3,Matbench,2
Eu2Ge(BO4)2,0.0,Matbench,2
Eu2O3,4.5,Matbench,2
Eu2PBr,0.0,Matbench,2
Eu2ReO5,0.0,Matbench,2
Eu2Se3,1.02,Matbench,2
Eu2SnSe5,1.07,Matbench,2
EuO,1.12,Matbench,2
EuPPt,0.0,Matbench,2
Eu3As2,0.6,Matbench,2
Eu(GaTe2)2,1.7,Matbench,2
EuS,1.65,Matbench,2
Eu3P2,1.2,Matbench,2
Eu3S4,1.7,Matbench,2
Eu3Sb4S9,1.2,Matbench,2
Eu3Sb4Se9,1.08,Matbench,2
Eu3Se4,0.58,Matbench,2
Eu3Sn,0.0,Matbench,2
Eu4Te7,0.31,Matbench,2
Eu7(Ga3Sb4)2,0.6,Matbench,2
EuAgSb,0.0,Matbench,2
EuAl2O4,2.74,Matbench,2
EuAlO3,0.0,Matbench,2
EuTiO3,0.0,Matbench,2
EuTl,0.0,Matbench,2
EuBiW2O9,3.63,Matbench,2
Eu(ZnSi)2,0.0,Matbench,2
Fe10O9F11,0.0,Matbench,2
EuCo8P5,0.0,Matbench,2
EuCu2SnS4,1.85,Matbench,2
EuCu9Sn4,0.0,Matbench,2
EuCuSeF,0.0,Matbench,2
EuCuSeO,0.0,Matbench,2
EuF3,0.0,Matbench,2
EuGe3Pt,0.0,Matbench,2
EuH2,1.85,Matbench,2
EuIn2(GeIr)4,0.26,Matbench,2
EuN,1.25,Matbench,2
EuNiGe3,0.0,Matbench,2
Fe4Si2Sn7O16,0.0,Matbench,2
Fe6O7F5,0.0,Matbench,2
EuPd,0.0,Matbench,2
Eu3BWO9,0.0,Matbench,2
FeAg3(CN)6,0.0,Matbench,2
EuSb4S7,0.98,Matbench,2
EuSb4Te7,0.54,Matbench,2
EuSbO3,0.0,Matbench,2
EuScO3,0.0,Matbench,2
EuSe,3.1,Matbench,2
EuSeClO3,0.0,Matbench,2
EuSn3,0.0,Matbench,2
EuSnAu2,0.0,Matbench,2
EuSnO3,0.0,Matbench,2
EuSnTe2,0.6,Matbench,2
EuTiClO3,0.0,Matbench,2
FeP,0.0,Matbench,2
FeP4,0.32,Matbench,2
EuZn,0.0,Matbench,2
EuCd11,0.0,Matbench,2
FeRhO3,0.0,Matbench,2
Fe12As5,0.0,Matbench,2
Fe2B(PO4)3,3.52,Matbench,2
Fe2Cu(PO4)3,0.0,Matbench,2
Fe2O2F3,0.0,Matbench,2
Fe2O3,2.2,Matbench,2
Fe2S,0.0,Matbench,2
Fe3B,0.0,Matbench,2
Fe3N,0.0,Matbench,2
Fe3Si,0.0,Matbench,2
Fe4H15(IO8)3,2.3,Matbench,2
Fe4O7F,0.0,Matbench,2
Ga1.001Sb0.999Te0.003,0.72,Matbench,2
Ga1.002Sb0.998Se0.006,0.7,Matbench,2
Fe6W6C,0.0,Matbench,2
EuRhO3,0.0,Matbench,2
Ga1.005Sb0.995Te0.015,0.68,Matbench,2
FeAgSe2,0.23,Matbench,2
FeAs2O7,0.0,Matbench,2
FeAsSe,0.6,Matbench,2
FeBi(SeO3)3,2.54,Matbench,2
FeBi25O39,2.8,Matbench,2
FeCo2Si,0.0,Matbench,2
FeCoAs,0.0,Matbench,2
FeCuSe2,0.15,Matbench,2
FeCuTe2,0.16,Matbench,2
FeI2,5.15,Matbench,2
FeOF,0.0,Matbench,2
Ga1.5Cu0.5S2.5,2.43,Matbench,2
Ga1.5Cu0.5Se2.5,1.76,Matbench,2
FePS,0.25,Matbench,2
Fe(PdSe)2,0.0,Matbench,2
Ga1.6Cu0.4S2.6,2.45,Matbench,2
FeSn,0.0,Matbench,2
